"sex","aage","AJBHRS","ancars","ahhsize","aqfedhi","arace","aregion","atenure","avote","afiyr"
1,24,35,"2","2","2","1","2","7","2",12771.86328125
1,52,40,"1","2","12","1","4","2","2",8540.634765625
2,20,35,"2","2","7","1","3","2","6",10126.931640625
1,16,41,"0","5","7","1","12","2","1",727.073059082
2,28,40,"1","2","7","1","6","2","10",6645.1591796875
1,37,50,"2","5","2","1","2","2","2",18661.10546875
2,30,35,"2","3","4","1","1","2","2",14560.8994140625
1,40,55,"2","4","4","1","3","2","1",35413.859375
2,26,23,"2","2","9","1","2","2","3",5464.1572265625
2,67,5,"2","2","7","1","4","1","1",3199.5981445313
2,35,21,"1","4","5","1","6","2","1",3280.5495605469
2,61,15,"3","3","5","1","1","5","2",3900
2,30,38,"1","2","7","1","8","2","1",9633.810546875
1,70,20,"1","2","12","1","7","1","1",5771.443359375
2,45,22,"1","2","7","1","5","1","2",5613.8999023438
2,56,40,"2","3","4","1","16","2","10",6487
2,16,7,"1","5","6","1","18","2","4",0
2,26,37,"1","1","11","1","3","2","10",17813.716796875
1,43,37,"2","5","4","1","3","2","1",9989.23046875
2,35,35,"2","2","1","1","18","2","3",31218.083984375
2,42,37,"1","1","2","1","11","1","2",19022.630859375
1,38,28,"1","4","10","1","18","2","2",11370.75
1,59,45,"1","2","12","1","1","2","1",13365.4150390625
2,51,10,"0","2","7","1","15","3","2",3128.216796875
2,35,35,"2","3","2","1","9","2","6",32548.87890625
2,35,25,"1","5","4","5","3","2","8",5857.234375
2,54,32,"1","1","4","1","18","2","1",11051.8251953125
2,45,35,"2","5","7","1","2","2","1",14131.5126953125
2,23,37,"1","2","6","5","7","1","6",7923.001953125
2,42,16,"1","4","7","1","2","2","2",4779.8125
2,28,35,"1","2","7","1","2","2","1",12380.6806640625
1,38,39,"1","3","12","1","8","2","10",10819.1181640625
2,39,37,"2","2","7","1","12","2","1",15011.0859375
2,36,30,"1","4","7","1","6","2","1",5628.5185546875
2,30,20,"1","4","5","1","10","2","2",10868.40234375
1,50,37,"2","2","4","1","3","2","1",14449.6806640625
2,35,35,"1","2","3","1","1","2","5",12545.775390625
2,23,40,"3","4","6","1","17","1","2",7645.0307617188
1,64,11,"1","1","4","1","6","1","2",3203.4599609375
1,38,39,"1","2","7","1","10","-9","2",11157.98046875
1,38,40,"2","3","1","1","11","2","1",17850.58203125
1,40,37,"1","3","4","1","12","2","3",16572.748046875
1,19,30,"1","3","6","5","2","7","3",3039.3615722656
1,60,37,"1","3","4","1","18","2","2",8124.4228515625
1,44,60,"1","5","2","1","16","5","2",11883.5693359375
1,55,40,"1","2","12","1","18","2","2",10584.2431640625
1,58,39,"1","2","10","1","3","1","1",8859
2,46,37,"1","3","7","1","16","2","3",10218.521484375
1,33,40,"1","4","12","1","10","2","2",13148.630859375
1,35,37,"1","3","4","5","3","2","2",19807.8515625
1,29,37,"1","5","7","1","7","-9","2",6916
1,28,38,"2","3","5","1","1","7","2",16641.2734375
1,34,37,"1","2","4","1","5","2","3",13731.9326171875
2,29,35,"1","2","6","1","6","2","6",12609.4296875
2,26,7,"1","4","9","1","4","-9","10",1994.1889648438
1,33,41,"1","1","7","1","3","2","2",28211.546875
2,33,40,"1","2","2","1","3","2","1",15379.8876953125
2,33,39,"2","3","6","1","4","1","3",10326.2001953125
1,36,40,"1","4","7","1","4","2","1",21668.775390625
1,24,39,"1","4","7","1","14","3","2",8123.697265625
2,51,35,"2","4","2","1","4","2","2",18814.060546875
2,45,27,"1","4","8","1","3","2","1",2066.4841308594
1,19,39,"1","4","7","1","9","2","10",6679.51953125
2,20,39,"1","4","7","1","11","3","2",5806.1137695313
1,32,37,"1","1","6","1","14","6","2",10367.7685546875
1,37,40,"2","3","7","1","16","2","2",18291.82421875
2,44,20,"1","4","4","1","3","2","3",6733.2280273438
1,45,41,"1","2","12","1","5","1","2",9125.1171875
2,22,40,"1","2","6","1","17","1","2",5718
1,44,37,"1","5","4","1","5","2","1",15330.25390625
1,17,40,"2","4","12","1","12","2","1",9880
2,35,35,"1","1","7","1","17","2","1",12856.43359375
2,40,14,"3","4","2","1","3","2","1",2378.52734375
2,20,37,"3","2","7","1","17","2","8",7888.25
