"sex","aage","AJBHRS","ancars","ahhsize","aqfedhi","arace","aregion","atenure","avote","afiyr"
1,29,39,"1","3","3","1","18","2","2",13491.552734375
2,37,25,"2","4","11","1","3","2","1",11917.6123046875
1,48,37,"0","4","4","1","11","2","1",15334.099609375
1,47,35,"1","4","2","1","18","2","3",12735.5
1,36,39,"1","3","6","1","3","2","1",9993.92578125
2,54,37,"2","2","3","1","6","2","3",22941.0625
1,52,37,"2","3","2","1","3","2","1",35606.41015625
2,25,48,"2","4","5","1","11","2","2",12090.7431640625
1,32,37,"2","4","4","1","17","6","1",13030.01953125
1,18,39,"1","5","7","1","4","3","2",5743.83984375
1,42,35,"0","3","12","1","8","3","2",9672
1,59,34,"2","2","7","1","4","1","1",7811.6171875
2,42,45,"2","5","2","1","3","2","1",21478.607421875
2,41,36,"1","1","2","1","1","2","2",34059.27734375
2,34,40,"1","4","5","1","6","2","1",5116.6279296875
1,50,39,"1","2","12","1","16","1","1",13890.1474609375
1,49,60,"2","2","2","1","18","2","10",29411.546875
1,57,37,"1","2","7","1","2","1","1",20707.8515625
2,23,55,"2","4","7","1","6","2","1",8085.525390625
2,49,20,"2","4","12","1","4","5","1",2013.8781738281
1,34,40,"2","3","6","3","1","7","2",11828.0283203125
2,23,40,"2","4","2","1","4","2","2",6208.744140625
2,25,39,"2","2","2","1","16","7","3",2775.5883789063
2,33,25,"2","4","12","1","18","2","10",5370.87890625
1,16,6,"1","4","9","1","13","2","11",1002.5
2,44,34,"2","2","3","1","8","2","1",20538.57421875
2,37,4,"1","4","2","1","4","2","2",3079.625
2,38,38,"0","2","6","1","18","3","2",6541.1235351563
2,51,27,"3","3","12","1","2","2","1",1949.3000488281
1,57,37,"1","2","12","1","18","3","2",13548.7783203125
2,36,18,"1","4","12","1","9","2","2",5124
1,25,39,"2","3","9","1","5","2","2",16700
1,53,39,"2","3","11","1","10","2","2",11544
1,18,39,"3","6","6","1","17","2","1",3536.1179199219
2,45,27,"1","4","12","1","3","1","3",4577.5620117188
1,42,39,"0","5","12","1","18","3","2",8165.349609375
1,28,40,"1","3","2","1","8","2","3",13133.19921875
2,30,15,"1","4","5","1","16","3","6",7081.919921875
1,52,50,"1","2","12","1","3","1","1",600
1,39,37,"1","5","10","1","18","2","4",10617.849609375
2,54,39,"1","2","12","1","6","1","1",5850.1201171875
1,27,35,"1","2","2","1","17","2","1",14098.4619140625
2,54,17,"2","4","12","1","3","5","2",3417.5212402344
1,29,39,"1","3","9","1","8","2","1",17935.4609375
1,22,4,"0","3","6","1","3","7","1",3801.6921386719
2,30,35,"1","1","9","1","9","2","1",11535.892578125
2,28,37,"1","2","7","1","3","2","1",9252.5
2,29,37,"2","2","4","1","11","2","1",15903.9921875
2,40,37,"1","1","7","1","3","2","6",18843.130859375
1,44,39,"1","2","12","1","17","1","2",15102.880859375
2,52,35,"0","1","7","1","3","3","2",8245.4921875
1,42,37,"2","4","4","1","16","2","1",24966.96875
1,58,48,"1","2","6","1","3","2","3",21115.787109375
2,43,14,"2","4","4","1","3","2","3",4837.798828125
2,56,38,"2","3","8","1","3","1","1",8770.1083984375
2,34,10,"2","5","12","1","3","2","1",4943.60546875
1,46,39,"0","2","12","1","15","3","2",9824.009765625
2,45,40,"2","3","7","1","4","7","10",10699.6650390625
1,20,38,"3","6","4","1","17","2","6",7210.501953125
1,58,40,"1","2","7","1","18","2","2",13872
1,16,5,"1","3","13","1","9","2","11",60
1,40,30,"2","2","1","1","18","2","2",24607.390625
1,49,35,"1","3","12","1","3","2","2",19984.35546875
1,31,50,"1","5","4","1","17","2","1",17811.3984375
2,45,20,"3","4","7","1","12","1","2",4866.158203125
1,35,48,"2","4","7","1","18","2","4",15985.794921875
2,48,25,"2","3","6","9","8","2","2",4606.5180664063
2,34,18,"2","4","7","1","10","2","1",7616.8081054688
2,40,37,"2","3","11","1","17","2","1",9868.5048828125
2,47,39,"2","2","12","1","7","2","2",7325.1728515625
1,17,39,"1","3","6","1","3","2","3",2836.9130859375
2,28,37,"2","2","6","1","4","2","6",22783.0703125
2,29,35,"0","2","4","1","1","2","1",13456.90234375
1,37,39,"1","4","6","1","4","2","2",17933.400390625
2,43,37,"2","2","7","1","3","3","3",13474
2,41,25,"2","4","7","1","10","2","2",8279.87109375
1,45,41,"1","2","10","1","13","2","1",14585.7734375
1,43,40,"1","4","7","1","2","2","2",9783.92578125
2,33,24,"1","4","8","1","3","2","2",5854.03515625
2,44,25,"1","3","12","1","12","2","10",3559.63671875
1,39,37,"2","5","6","1","3","2","1",14411.0859375
2,30,10,"1","4","9","1","17","2","2",2345.0830078125
1,17,12,"1","3","7","1","3","2","11",1204
1,34,42,"2","2","4","1","3","2","6",13258.1650390625
1,20,37,"2","3","7","1","16","2","1",11046
1,20,15,"1","3","7","2","7","4","10",3141.7856445313
2,64,10,"0","2","12","1","4","2","3",2626.0727539063
1,34,40,"1","5","9","1","4","2","1",23270.33203125
1,42,35,"2","4","7","1","3","2","1",21256.3046875
2,64,9,"1","2","12","1","4","1","2",3427.6413574219
1,35,35,"0","1","7","1","4","2","2",24018.4765625
1,47,9,"1","3","12","1","17","3","2",3070.9743652344
1,20,39,"0","2","6","1","5","6","2",9463.8408203125
1,47,42,"2","4","4","1","8","1","1",21833
2,35,37,"2","4","8","1","3","2","1",9079.779296875
1,33,37,"1","6","2","1","6","7","2",11476.60546875
1,38,37,"2","4","4","1","5","2","3",21759.005859375
2,46,9,"0","2","12","1","16","3","2",4902.4770507813
2,19,37,"1","2","7","1","13","2","10",5490.5
2,26,45,"2","3","2","1","7","2","2",16371.2509765625
2,43,37,"2","3","4","1","9","2","2",14117.783203125
1,44,39,"1","3","12","1","2","2","2",9100
2,46,5,"0","3","12","1","11","3","2",3777.5769042969
2,48,12,"0","3","7","1","8","2","2",1995.5784912109
1,48,37,"2","2","2","1","17","2","3",14471.0859375
2,57,40,"0","1","7","9","1","7","1",7200.0600585938
1,25,41,"1","2","9","1","7","2","2",8721.7001953125
1,55,32,"1","2","6","1","3","2","2",21068.314453125
2,36,23,"1","5","12","1","3","3","1",4644.2978515625
1,58,55,"2","2","1","1","18","6","2",20672.087890625
1,52,40,"2","4","7","1","17","1","2",14138.611328125
1,49,42,"2","3","6","1","17","2","2",13640.611328125
1,61,39,"1","2","12","1","2","3","2",9426.900390625
1,34,36,"1","3","6","1","2","2","3",14931.3671875
1,31,38,"2","2","12","1","3","2","2",11751.5771484375
2,33,40,"1","1","7","1","15","2","2",13414.0478515625
2,24,39,"1","2","6","1","18","2","2",10581.140625
1,17,37,"2","5","7","1","14","2","3",5276.1557617188
1,39,35,"1","3","6","1","9","2","1",10167.833984375
2,39,39,"0","4","8","2","13","4","2",9472.052734375
1,32,42,"1","3","9","1","16","3","10",14769.19140625
2,26,39,"1","2","7","1","12","1","8",5920.7451171875
2,31,37,"0","3","12","1","10","3","2",426.2344360352
1,22,40,"1","5","7","1","4","2","3",221.5990142822
2,31,42,"2","2","2","1","3","2","2",27610.947265625
2,21,37,"0","2","4","1","3","3","1",7273.6401367188
1,41,20,"2","4","4","1","3","2","1",14601.236328125
2,46,35,"2","2","7","1","4","2","2",12391.048828125
2,32,21,"2","5","5","1","13","2","1",9228.6552734375
1,46,39,"2","4","12","1","8","2","2",13172.125
2,19,37,"2","3","6","1","6","2","1",510.3628845215
2,56,42,"1","2","12","1","5","5","2",8282.287109375
1,30,60,"0","4","4","5","3","2","10",10400
1,43,39,"1","3","4","1","6","2","1",19567.8515625
2,42,37,"2","4","12","1","17","1","2",7586.7861328125
1,24,37,"2","2","2","1","9","2","2",12519.3232421875
1,26,37,"1","2","4","1","12","2","2",14573.97265625
2,19,9,"2","6","6","1","3","7","2",8036.427734375
2,16,40,"1","5","9","1","16","2","11",348.8397827148
1,20,40,"1","2","12","1","2","2","1",6322.37109375
2,52,21,"2","3","12","1","6","2","1",2418.6147460938
1,56,42,"3","4","6","1","14","1","10",9057.3671875
1,37,39,"1","5","12","1","17","2","2",7061.2373046875
1,25,37,"3","2","6","1","17","2","1",14910.46484375
1,53,38,"1","2","12","1","4","1","1",12585.4599609375
2,35,12,"3","3","7","1","3","2","1",1885.9862060547
1,32,45,"2","4","6","1","11","2","1",17400
2,32,10,"1","6","7","1","8","2","1",3310.7397460938
2,49,35,"0","4","8","1","3","2","2",8685.412109375
1,22,35,"3","4","6","1","3","1","3",7445.88671875
2,47,38,"1","2","12","1","16","1","2",5529.208984375
2,42,6,"0","4","12","1","18","3","2",1142.421875
1,34,39,"1","3","10","1","17","1","10",13752.5029296875
2,37,35,"1","1","7","1","1","2","3",15726.00390625
1,16,8,"2","4","7","1","3","2","1",1145.2277832031
2,48,22,"1","2","8","1","3","2","3",5281.8940429688
1,34,40,"1","4","4","1","2","2","1",22258.62109375
1,49,39,"0","2","12","1","3","3","2",8837.2001953125
2,22,40,"1","2","7","1","3","2","2",12947.7138671875
1,50,39,"2","3","6","1","4","1","3",11515.900390625
1,37,48,"1","4","4","1","16","2","1",17261.54296875
1,34,50,"2","3","7","1","6","2","3",15054.755859375
2,22,35,"1","2","6","1","1","6","6",10076.267578125
2,63,13,"1","2","12","1","17","1","2",3956.4194335938
2,53,24,"2","5","12","1","4","2","10",7233.3598632813
1,29,40,"1","5","7","1","2","2","2",14034.6064453125
2,47,40,"2","2","7","1","1","2","10",11761.46875
1,38,36,"1","2","1","1","2","1","1",25209.23828125
1,38,50,"2","4","4","1","8","2","1",42200
2,60,23,"0","1","7","1","6","2","1",5740.7275390625
1,35,35,"2","4","4","1","3","2","2",25560.001953125
2,26,17,"0","4","7","1","16","3","2",2489.7424316406
2,30,33,"0","1","7","4","4","2","1",11106.951171875
2,31,23,"2","4","6","1","11","2","1",3923.6643066406
2,31,25,"1","4","7","5","2","2","1",12130.123046875
2,20,35,"3","3","6","1","2","2","2",8558.7783203125
1,46,35,"1","3","2","1","1","2","2",17643.5390625
1,19,40,"2","6","9","1","4","6","10",3952
1,16,35,"1","3","12","1","9","2","11",2268.5139160156
2,37,10,"0","3","7","1","11","7","1",10866.892578125
1,30,36,"2","3","6","1","8","2","3",14543.439453125
2,41,12,"1","3","12","1","2","6","10",2580.4499511719
1,36,39,"1","4","7","1","16","2","10",17463.1484375
1,43,37,"1","4","6","1","3","2","1",9066.9287109375
2,58,24,"2","2","7","1","16","2","1",4160.7001953125
1,18,35,"1","6","9","1","4","2","2",5745.2514648438
2,22,20,"1","4","9","1","3","7","10",779.8856201172
1,28,38,"3","3","4","1","9","2","1",15932.814453125
1,28,37,"0","1","9","1","16","2","6",16512.283203125
1,44,35,"2","2","6","1","9","2","10",20854
2,52,40,"3","4","12","1","4","1","3",3220.2119140625
2,39,33,"1","4","4","1","11","2","1",20731.3984375
2,20,41,"1","4","7","1","10","1","1",5899.8461914063
2,26,36,"2","2","2","1","9","2","2",20053.46875
2,28,20,"0","2","7","1","1","6","1",9335.408203125
2,18,6,"2","5","7","1","16","2","2",708.1986083984
1,29,37,"0","2","7","1","3","3","2",5406.78125
2,47,30,"1","5","8","1","2","5","1",7685.4506835938
2,16,7,"2","5","7","1","10","1","11",780
2,47,37,"1","1","2","1","17","2","2",22137.462890625
1,42,38,"2","5","2","1","3","2","1",39826.25
1,27,39,"1","3","9","1","3","2","1",22335.427734375
1,57,40,"2","2","1","1","1","2","1",41430.484375
1,46,56,"1","4","2","1","9","6","2",32657.279296875
1,52,38,"2","3","12","1","2","2","1",15954.40625
1,32,38,"1","4","7","1","2","2","1",12604.619140625
2,51,29,"1","2","3","1","8","2","2",18697.431640625
1,29,37,"1","1","2","1","3","2","10",26335.384765625
2,31,30,"2","6","7","1","4","6","8",6125.21875
1,44,30,"3","4","7","1","14","2","1",18073.857421875
2,48,35,"3","3","12","1","3","2","1",9025.57421875
1,45,18,"0","2","1","1","18","4","4",14405.0810546875
2,46,25,"2","2","3","1","13","2","1",18997.6953125
1,37,40,"3","3","7","1","6","2","3",2313.2199707031
2,49,12,"0","2","12","1","16","1","2",2633.197265625
1,16,8,"3","4","7","1","3","2","11",1492.6042480469
1,39,50,"1","4","6","1","3","2","2",28811.546875
2,17,12,"3","3","7","1","3","2","1",476.6061706543
1,33,41,"1","4","6","1","2","2","1",25436.232421875
1,31,39,"1","4","12","1","8","3","2",10916
1,16,40,"1","4","9","1","9","2","2",17.7215442657
1,50,37,"1","3","12","1","9","2","2",8653.455078125
2,27,37,"1","3","8","1","11","2","1",10851.388671875
1,53,37,"1","3","7","1","7","3","1",7996.9614257813
1,25,39,"1","2","7","1","14","2","3",13000
2,31,35,"2","4","12","1","3","3","2",8240.77734375
1,37,37,"1","4","4","1","18","2","1",16526.462890625
1,52,38,"1","4","7","1","3","2","2",20800
2,21,36,"1","3","3","1","9","1","2",5295.7270507813
2,35,30,"1","3","12","1","18","2","1",10591.388671875
2,31,35,"1","1","4","1","18","3","3",11348.10546875
2,45,15,"1","4","7","1","6","2","2",3186.2587890625
1,47,44,"3","3","3","1","9","2","1",18402.9296875
2,55,35,"1","2","7","1","18","1","2",9600.2333984375
1,28,39,"0","4","7","1","6","3","2",14295
2,18,40,"3","5","7","1","3","1","2",4211.6518554688
2,39,37,"2","2","7","1","4","2","3",13004.25
2,31,37,"2","2","4","1","18","2","2",7116.3369140625
1,39,40,"1","1","8","1","18","3","4",11469.2705078125
1,48,38,"2","4","4","1","1","2","1",39000
2,42,11,"2","2","7","1","9","2","1",2466.9560546875
1,29,35,"1","2","2","1","1","7","2",18702.08203125
1,52,39,"0","3","12","1","12","2","2",13994.4990234375
2,37,10,"1","4","12","1","3","4","1",2218.0446777344
1,42,36,"2","1","6","1","3","2","3",24416.38671875
2,42,7,"2","4","7","1","3","2","3",2784.7353515625
2,25,38,"0","4","2","1","18","7","1",10832.3583984375
1,30,39,"1","3","12","1","9","2","2",14035
2,59,20,"0","2","12","1","18","1","4",3617.1040039063
2,23,40,"1","4","7","1","2","7","6",12624.03125
2,20,37,"2","3","9","1","3","2","2",6040.2021484375
1,46,37,"2","4","2","1","3","2","1",22098.982421875
1,35,39,"1","4","6","1","18","2","4",12209.447265625
2,18,45,"2","4","6","1","5","2","1",1209.5717773438
1,50,39,"0","5","12","1","6","1","1",11619.00390625
2,55,35,"2","2","12","1","3","2","1",22677.322265625
2,23,37,"1","2","7","1","5","2","2",7392.6015625
2,18,6,"1","4","6","1","11","2","2",0
2,19,39,"1","2","7","1","7","2","6",6627.4384765625
2,49,3,"2","3","7","1","1","3","1",2187.958984375
1,55,37,"1","3","12","1","14","3","3",11695.599609375
1,51,37,"1","2","2","1","17","2","3",34791.46875
1,43,45,"2","2","2","1","11","2","3",19948.75
2,18,40,"0","5","9","1","15","6","1",0
2,43,36,"1","4","8","1","13","3","3",7700.6079101563
1,46,37,"2","5","2","1","3","2","1",19781.1328125
2,19,40,"3","4","6","1","17","3","2",2260.7060546875
2,57,30,"0","3","5","4","13","1","2",13487.5986328125
2,56,19,"2","2","2","1","18","6","2",13264.5732421875
1,42,37,"2","4","4","1","17","1","2",20677.55078125
2,19,37,"2","2","6","1","3","2","1",7953.130859375
2,40,39,"1","4","12","1","16","2","2",6624.1127929688
2,46,34,"1","2","12","1","9","2","1",11518.970703125
1,40,40,"2","3","6","1","3","2","1",25255.1640625
1,53,39,"2","3","7","9","1","2","2",15672.0087890625
2,21,45,"3","4","7","1","7","2","1",5235.765625
1,28,39,"1","2","9","1","15","2","2",8186.8999023438
1,33,10,"1","3","4","1","3","2","2",1634.3054199219
1,56,39,"1","2","12","1","4","2","3",11804
1,26,40,"1","4","4","1","4","2","1",16921.70703125
2,17,40,"1","4","7","1","6","2","11",1676.3653564453
2,16,9,"2","4","13","1","3","2","11",736.6666870117
2,45,25,"1","4","12","1","4","3","2",5112.5859375
2,44,36,"1","4","6","1","18","2","2",10514.923828125
1,34,40,"1","5","12","1","11","2","2",13580
2,16,8,"1","4","7","1","3","2","8",210.6873321533
1,31,37,"1","1","2","1","11","2","1",15679.580078125
2,33,35,"1","5","7","1","3","2","2",8256.6982421875
2,56,32,"1","3","12","1","16","3","2",3196.8200683594
1,26,42,"2","2","7","1","6","2","1",16523.14453125
1,27,37,"1","1","7","1","4","2","10",6480.3427734375
2,22,35,"1","3","7","1","3","2","1",9878.765625
1,34,37,"1","4","6","1","14","2","2",10060
1,29,37,"2","2","4","1","1","2","2",15422.3359375
1,27,80,"0","4","6","1","3","5","1",17358.7421875
2,22,35,"1","4","7","1","7","2","6",5925.796875
2,43,12,"2","4","7","1","8","2","2",2527.7177734375
2,30,35,"1","3","8","1","3","2","10",6840.5986328125
2,45,24,"1","2","7","1","1","2","1",0
2,59,25,"0","1","12","1","1","3","8",5648.4296875
1,17,36,"1","6","9","1","16","3","2",60
2,47,39,"2","4","7","1","2","2","3",15266.01171875
2,45,30,"2","4","4","1","3","2","2",8230.5810546875
2,17,7,"1","4","7","1","6","2","2",1333.4000244141
1,29,40,"2","3","12","1","4","1","10",7786.9770507813
2,34,32,"1","5","7","1","16","2","3",7238.2309570313
1,34,52,"1","4","12","1","11","2","1",11672
1,41,37,"1","4","7","1","18","2","2",14585.54296875
1,38,41,"1","4","10","1","5","-9","1",1988
1,53,35,"2","3","12","1","2","1","1",32191.390625
2,59,18,"1","2","12","1","16","1","2",2399.1401367188
2,28,7,"1","3","7","1","3","2","3",1609.8723144531
2,43,16,"2","3","4","1","3","2","1",3853.0600585938
2,53,24,"1","3","12","1","11","1","2",3856
1,50,37,"1","3","1","1","15","2","2",16314.5546875
2,33,8,"0","5","9","1","9","2","2",2421.4326171875
1,55,37,"1","3","6","1","9","2","2",17466.9296875
2,53,37,"1","3","12","1","3","1","1",9582
2,23,40,"1","1","12","1","5","3","2",9055.55078125
2,45,35,"2","5","4","1","1","2","2",21420.7421875
2,21,40,"1","2","7","1","1","2","2",12795.2001953125
1,40,45,"0","3","12","1","13","3","1",8576.7001953125
2,27,25,"1","3","4","5","3","2","2",12180.9482421875
2,50,16,"1","4","12","1","13","2","3",4054.4125976563
2,39,18,"3","4","5","1","4","2","1",9264.6884765625
2,40,24,"0","2","2","1","18","2","2",8675.25390625
2,18,11,"1","4","6","1","18","3","2",1455.5
2,50,40,"1","2","4","1","9","2","2",9777.5751953125
1,18,38,"1","4","6","1","10","2","3",4959.5678710938
1,44,55,"1","4","12","1","13","2","1",12275.400390625
2,26,15,"2","5","4","1","11","2","1",3649.0795898438
2,53,38,"1","2","12","1","3","2","2",10664.4501953125
2,57,8,"3","3","12","1","3","2","2",971.5368652344
2,54,20,"1","2","7","1","3","1","2",2584.9697265625
2,17,35,"1","4","4","1","8","2","3",832.0224609375
1,17,2,"1","4","7","1","4","2","3",885.9000244141
2,50,24,"1","3","12","1","2","1","1",6123.7158203125
2,47,35,"1","1","6","1","18","2","1",11335.474609375
1,23,38,"2","3","4","1","1","4","1",17784
2,50,40,"1","2","12","1","6","2","1",11700
1,44,38,"2","4","7","1","9","2","1",23850.939453125
1,44,50,"2","2","4","1","6","2","1",48379.86328125
1,31,35,"3","1","4","1","17","2","1",18076.357421875
1,49,39,"0","5","4","1","11","2","2",14514.9296875
2,25,33,"1","3","6","1","11","2","1",5961.4672851563
1,31,40,"3","4","12","1","18","3","2",7896.0346679688
1,29,39,"1","3","7","1","4","2","2",10737.4892578125
2,28,30,"1","5","7","1","3","2","1",8286.6337890625
1,42,57,"1","2","7","1","3","2","3",16751.9609375
1,24,39,"1","2","7","1","3","2","1",7296.5849609375
1,36,40,"1","3","6","1","2","6","2",17537.859375
2,51,17,"2","3","7","1","2","2","2",3754.5681152344
2,56,5,"0","1","8","1","3","6","3",3531.8227539063
1,32,35,"1","3","6","1","16","2","1",17412.93359375
2,18,35,"3","3","6","1","18","2","1",6322.3403320313
2,25,37,"1","1","2","1","3","2","1",16694.078125
1,46,39,"3","4","6","1","15","1","3",12661.625
2,44,40,"0","1","12","1","18","3","10",2884.7822265625
1,26,37,"2","2","2","1","14","7","2",15630.4111328125
2,40,20,"3","4","4","1","11","5","2",2244
1,34,40,"2","2","1","1","3","2","2",15882.17578125
2,19,30,"1","4","6","1","18","2","2",1116.9886474609
1,36,45,"0","4","12","1","1","4","2",11254.400390625
2,26,16,"0","4","9","1","6","3","2",1729.5786132813
2,19,40,"1","2","9","1","6","2","2",2680.1979980469
1,37,39,"1","4","6","1","13","2","1",10920
1,35,40,"1","3","4","1","3","3","1",8512.80078125
1,21,42,"1","1","7","1","14","2","2",10390.0693359375
2,46,37,"0","2","12","1","18","2","2",8943.3251953125
2,39,20,"0","5","8","1","3","3","3",5358.5375976563
1,35,38,"1","3","6","1","14","2","2",13575.2001953125
2,47,35,"0","1","7","1","18","2","1",11420
1,45,38,"2","4","12","1","8","2","1",14075.7509765625
2,33,9,"1","5","9","1","3","3","1",2565.0581054688
2,48,40,"2","2","12","1","7","2","1",6821.201171875
1,19,41,"3","4","9","1","4","2","10",6423.8330078125
1,52,50,"1","2","4","1","3","1","3",10524.1953125
1,54,37,"2","3","12","1","8","1","8",13295.23046875
2,24,3,"1","4","9","1","4","2","1",1288.7149658203
1,24,42,"1","2","7","1","18","2","10",13575
1,30,35,"2","3","4","1","3","1","1",16256.53515625
1,76,15,"1","1","7","1","10","1","1",9965.61328125
2,37,20,"1","4","12","1","17","1","1",8261.736328125
1,33,40,"1","4","7","1","13","2","2",11650
2,44,35,"2","3","12","1","8","2","2",5282.125
1,31,37,"1","4","9","1","4","2","2",11960
1,23,35,"2","3","2","1","3","2","1",15550.216796875
2,26,20,"2","3","4","1","6","2","1",5165.0112304688
1,47,39,"1","2","11","5","13","2","2",8824.5947265625
2,20,55,"2","5","4","1","2","2","2",3255.0004882813
1,18,39,"1","4","4","1","18","3","8",8241.5234375
1,48,37,"2","5","4","1","3","2","2",17073.9609375
1,63,40,"1","2","10","1","6","1","3",13495.7998046875
1,25,37,"2","5","6","1","11","2","1",13697.4599609375
2,35,25,"2","4","10","1","16","2","2",1373.1135253906
1,55,39,"2","3","12","1","16","2","2",13212
1,46,40,"1","4","4","1","13","2","1",11520
2,58,40,"0","2","7","1","1","2","2",13810.625
2,37,16,"1","3","4","1","12","2","2",3138
1,40,38,"1","4","4","1","18","2","2",22809.23828125
1,29,39,"1","4","4","1","3","3","2",15031.3671875
2,66,15,"1","2","1","1","3","2","3",8276.0791015625
1,32,37,"2","2","6","1","4","7","1",36749.35546875
2,28,35,"2","2","2","1","2","7","2",22061.42578125
1,26,40,"3","1","9","1","3","6","1",6503.0024414063
1,44,38,"2","5","7","1","6","2","2",10196.2001953125
2,23,37,"3","4","7","1","5","2","1",13050.6943359375
2,30,39,"2","2","7","1","5","2","1",9386.0400390625
2,43,37,"3","2","8","1","11","2","1",10000.900390625
2,20,13,"1","3","7","1","11","3","3",2818.0327148438
1,17,40,"2","4","12","1","4","2","11",1599.1833496094
1,62,38,"1","2","10","1","18","4","2",18430
2,21,35,"1","1","4","1","16","2","1",6790.0610351563
2,54,10,"1","2","7","1","4","1","3",3724
1,30,40,"1","1","4","9","18","2","2",14035.19921875
1,46,40,"1","4","4","1","6","2","1",15282.345703125
1,42,40,"1","2","12","1","6","5","1",10736.2001953125
1,31,33,"1","1","2","1","2","2","1",25365.73046875
2,29,30,"1","2","9","1","10","-9","2",4020.6589355469
1,43,38,"3","4","4","1","18","2","10",20588.314453125
1,43,50,"2","5","4","1","3","2","1",42632.33203125
2,35,5,"2","4","12","1","8","2","1",844.033996582
1,23,45,"3","4","4","1","9","8","3",9811.02734375
2,42,36,"1","1","12","1","2","2","1",27751.6640625
2,26,36,"1","2","4","1","8","2","1",8556.0380859375
2,50,33,"3","3","6","1","2","1","1",7216.4208984375
2,33,37,"2","2","9","1","5","2","1",17969.51171875
1,41,37,"1","3","4","1","6","3","1",12365.3583984375
2,29,39,"1","1","2","1","17","2","1",24069.96875
2,44,22,"1","4","7","1","6","3","1",5079.5087890625
2,44,32,"2","2","8","1","3","2","1",9422.55859375
1,47,40,"1","2","12","1","2","6","3",12034.8037109375
2,47,22,"1","2","12","1","6","1","2",5899.1650390625
1,31,40,"2","4","12","1","18","2","10",18621.173828125
2,65,8,"1","1","8","1","2","1","1",11826.900390625
2,47,37,"2","2","7","1","7","2","1",15525.38671875
2,39,21,"2","3","12","1","3","3","1",5141.5190429688
2,25,40,"2","3","6","1","11","2","3",9178.2841796875
1,27,40,"2","3","7","1","4","6","10",10148.568359375
2,28,53,"1","2","6","1","4","2","10",10263.08203125
2,38,40,"2","2","1","1","18","2","3",27260.3359375
1,40,39,"1","3","12","1","11","1","3",9623.0400390625
2,50,34,"2","3","12","1","6","1","1",4738.3999023438
2,42,40,"3","4","7","1","16","2","1",9603.6484375
2,30,9,"1","4","8","1","3","3","1",1371.912109375
2,17,7,"3","6","7","1","6","2","11",761.7600097656
1,42,37,"2","2","2","1","11","2","3",21127.62109375
2,41,17,"2","5","12","1","17","3","2",4503.6479492188
2,55,10,"1","4","12","1","17","3","2",1635.3815917969
2,27,37,"0","1","5","1","18","2","4",13982.8330078125
2,29,33,"1","4","7","1","13","2","1",6458.7216796875
2,43,35,"3","5","7","1","16","2","1",8309.3271484375
1,24,37,"2","2","1","1","3","2","3",14646.236328125
2,39,37,"1","2","2","1","2","2","2",24609.69921875
2,33,20,"1","4","8","1","16","2","3",3631.7790527344
1,64,12,"0","2","-9","1","3","2","1",17090
2,22,37,"2","3","4","1","4","6","1",8478.802734375
2,39,37,"1","3","12","1","16","1","2",13019.1376953125
2,16,40,"0","3","9","1","8","2","2",124.3813858032
1,29,37,"2","2","4","1","3","2","3",10906.3046875
2,46,35,"3","4","7","1","3","2","1",13051.759765625
1,52,37,"1","3","2","1","13","2","7",12138.634765625
1,49,39,"2","3","12","1","4","7","3",10526.099609375
2,28,18,"2","3","6","1","11","2","10",4629.3857421875
2,30,22,"1","4","4","1","11","2","1",9038.80859375
1,27,35,"1","2","4","1","9","2","1",16403.33203125
2,49,40,"2","3","12","1","10","2","3",7860
1,41,40,"1","3","7","1","9","2","1",11752.4248046875
2,22,36,"3","3","9","1","3","2","6",10880.599609375
2,22,37,"1","2","7","1","3","2","1",10594.4853515625
2,36,12,"1","5","2","1","8","2","1",5608.4306640625
2,16,9,"0","2","7","1","18","2","11",1776.3787841797
1,47,60,"1","4","2","1","9","5","2",11512.50390625
2,24,37,"2","3","2","2","3","2","2",11789.5009765625
2,45,36,"2","2","4","1","11","2","1",15606.00390625
2,52,37,"1","3","6","1","17","3","2",11103.15625
2,43,40,"2","5","2","1","12","2","3",10183.119140625
2,25,9,"1","4","8","1","13","2","2",6391.4282226563
1,24,38,"3","3","7","1","8","2","1",9697.978515625
2,50,30,"2","2","12","1","2","1","10",6429.1953125
2,53,33,"0","2","4","1","18","2","2",9855.7919921875
1,63,37,"0","1","7","1","7","3","2",15558.337890625
2,47,8,"2","4","7","1","15","2","2",1994.1557617188
1,38,39,"1","4","6","1","12","2","10",10060
1,45,40,"2","5","7","1","3","2","1",20475.59375
1,43,39,"1","6","12","5","7","1","2",15564.4619140625
1,44,37,"2","4","6","1","3","2","1",28708.70703125
1,36,40,"0","6","4","1","3","2","1",18794
1,41,40,"1","4","4","1","12","2","2",11904.1513671875
1,42,45,"0","2","12","1","12","7","2",17094.119140625
2,31,37,"2","2","7","1","9","2","2",13844.2841796875
2,32,24,"0","3","12","1","10","2","6",6566.25
1,62,37,"1","2","12","1","10","2","2",14120
1,41,45,"1","1","2","1","2","2","1",21900.23828125
2,16,40,"1","5","-9","1","9","3","10",616.2150878906
2,43,70,"1","2","4","1","11","6","1",4046.3842773438
1,32,38,"1","2","3","1","3","2","2",21076.32421875
1,18,7,"2","5","7","1","3","2","3",1021.700012207
2,44,40,"1","5","12","2","1","2","2",11278.412109375
2,43,44,"0","1","11","9","5","6","1",6106.6533203125
